name,category,year,courseid,credit,duration,schedule,current_students,total_students,note
인적자원관리,전공,2,D03382203,3,3,화 7 8 9 ( ),20,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
재무관리,전공,2,D01311201,3,3,화 4 5 6 ( ),8,60,"전필, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
재무관리,전공,2,D01311202,3,3,화 4 5 6 ( ),45,60,"전필, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
재무관리,전공,2,D01311203,3,3,수 4 5 6 ( ),47,50,"전필, 원어, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
재무관리,전공,2,D01311204,3,3,목 4 5 6 ( ),39,50,"전필, 원어, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
재무관리,전공,2,D01311206,3,3,금 4 5 6 ( ),30,50,"전필, 원어, 비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
재무관리,전공,2,D01311207,3,3,금 7 8 9 ( ),58,60,"전필, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
재무회계(1),전공,2,D03205504,3,3,목 1 2 3 ( ),57,50,"전필, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
재무회계(1),전공,2,D03205505,3,3,금 4 5 6 ( ),57,60,"전필, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
재무회계(1),전공,2,D03205506,3,3,금 7 8 9 ( ),52,60,"전필, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
재무회계(1),전공,2,D03205507,3,3,목 7 8 9 ( ),55,60,"전필, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
재무회계(1),전공,2,D03205508,3,3,화 4 5 6 ( ),69,60,"전필, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
재무회계(1),전공,2,D03205509,3,3,월 4 5 6 ( ),5,50,"전필, 원어, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
재무회계(2),전공,2,D03206501,3,3,목 4 5 6 ( ),60,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
조직행동,전공,2,D01314101,3,3,화 4 5 6 ( ),61,60,"전필, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
조직행동,전공,2,D01314102,3,3,수 1 2 3 ( ),59,60,"전필, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
조직행동,전공,2,D01314103,3,3,수 4 5 6 ( ),34,60,"전필, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
조직행동,전공,2,D01314104,3,3,화 4 5 6 ( ),45,50,"전필, 원어, 비대면(학기 전체), 화456 조민수 교수님 배정 예정(변경기간에 수강신청 학부 홈페이지 참고)"
고급회계,전공,3,D03462101,3,3,수 11 12 13 ( ),61,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
국제마케팅,전공,3,D01406201,3,3,수 1 2 3 ( ),53,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
국제마케팅,전공,3,D01406202,3,3,화 7 8 9 ( ),43,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
글로벌공급사슬전략,전공,3,D03316201,3,3,수 4 5 6 ( ),65,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
금융기관론,전공,3,D03465201,3,3,월 10 11 12 ( ),60,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
기계학습,전공,3,D03329101,3,3,목 4 5 6 ( ),8,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
기술경영 및 운영전략,전공,3,D01357201,3,3,화 7 8 9 ( ),65,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
데이터베이스,전공,3,V44458201,3,3,금 4 5 6 ( ),68,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
디지털마케팅,전공,3,D03514101,3,3,금 4 5 6 ( ),58,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
미래경영학,전공,3,D03308201,3,3,월 1 2 3 ( ),61,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
브랜드전략,전공,3,D03389101,3,3,화 4 5 6 ( ),36,50,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
브랜드전략,전공,3,D03389102,3,3,월 7 8 9 ( ),47,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
비즈니스프로그래밍II,전공,3,D03214201,3,3,목 7 8 9 ( ),9,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
세무회계(1),전공,3,D03384201,3,3,월 7 8 9 ( ),56,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
소셜미디어애널리틱스,전공,3,D03325101,3,3,목 1 2 3 ( ),30,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
운영계획및통제,전공,3,D03466101,3,3,목 4 5 6 ( ),49,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
전략경영,전공,3,D03493401,3,3,수 1 2 3 ( ),0,50,"원어, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
전략경영,전공,3,D03493402,3,3,수 4 5 6 ( ),37,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
증권분석론,전공,3,P01456201,3,3,목 10 11 12 ( ),42,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
국제무역이슈와실제,전공,4,D03418501,3,3,월 4 5 6 ( ),65,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
글로벌경영환경분석,전공,4,D03467601,3,3,금 7 8 9 ( ),39,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
글로벌지역마케팅,전공,4,D01204101,3,3,수 1 2 3 ( ),10,50,"원어, 비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
기업재무전략,전공,4,V33464701,3,3,월 7 8 9 ( ),62,60,"비대면(학기 전체), 이중전공, 1전공자 우선수강(신청기간 이중,1전공만/변경기간 학부 홈페이지 참고)"
기업재무전략,전공,4,V33464702,3,3,화 7 8 9 ( ),51,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
기업지배구조,전공,4,D03505201,3,3,수 7 8 9 ( ),16,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
외환론,전공,4,D01403101,3,3,목 7 8 9 ( ),54,60,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
재무제표분석,전공,4,D03500101,3,3,화 7 8 9 ( ),32,50,"비대면(학기 전체), 1전공자 우선수강(신청기간 1전공만/변경기간 학부 홈페이지 참고)"
